# unit	matched_code	matched_functions	total_code	total_functions
default/network/quazal/Authentication/Client/KerberosAuthentication	0	0	768	1
default/network/quazal/Authentication/Client/TicketManager	0	0	1060	2
default/network/quazal/CallContext	0	0	608	1
default/network/quazal/CallContextRegister	0	0	400	1
default/network/quazal/CallRegister	0	0	1924	8
default/network/quazal/ChangeDupSetOperation	0	0	232	1
default/network/quazal/ChangeMasterStationOperation	0	0	200	1
default/network/quazal/Competition/Client/CompetitionClient	0	0	704	1
default/network/quazal/Competition/Protocol/CompetitionDDL	0	0	96	1
default/network/quazal/Competition/Protocol/TournamentDDL	0	0	132	1
default/network/quazal/Compression/ZLib/ZLibCompression	0	0	316	1
default/network/quazal/Core	0	0	2032	4
default/network/quazal/Core/BitStream	0	0	232	3
default/network/quazal/Core/ByteStream	0	0	2208	21
default/network/quazal/Core/EventHandler	0	0	1020	3
default/network/quazal/Core/Log	0	0	1356	5
default/network/quazal/Core/MutexPrimitive	0	0	72	1
default/network/quazal/Core/ObjectThreadRoot	0	0	200	1
default/network/quazal/Core/Platform	0	0	100	1
default/network/quazal/Core/String	0	0	2360	20
default/network/quazal/Core/StringConverter	0	0	356	3
default/network/quazal/Core/StringStream	0	0	160	1
default/network/quazal/DOCallContext	0	0	1928	10
default/network/quazal/DOClass	0	0	1540	5
default/network/quazal/DOClassesTable	0	0	376	1
default/network/quazal/DOCore	0	0	2056	1
default/network/quazal/DOCoreTypes	0	0	884	2
default/network/quazal/DupSpace/DefaultCellDDL	0	0	1444	15
default/network/quazal/DupSpace/DupSpaceExtension	0	0	548	2
default/network/quazal/DupSpace/DuplicationSpaceTable	0	0	3100	8
default/network/quazal/DupSpace/MatchOperation	0	0	188	1
default/network/quazal/Encryption/RC4/RC4Encryption	0	0	296	3
default/network/quazal/Foundation/Client/ClientStreamManager	0	0	196	1
default/network/quazal/Foundation/JobTerminateFacade	0	0	384	1
default/network/quazal/Foundation/ProductFacade	0	0	3592	9
default/network/quazal/Foundation/Protocol/DataDDL	0	0	116	1
default/network/quazal/Foundation/Protocol/NotificationEventManager	0	0	100	1
default/network/quazal/Foundation/Transport/StreamManager	0	0	508	1
default/network/quazal/GlobalDiscovery/GlobalDiscoveryExtension	0	0	176	1
default/network/quazal/IDGeneratorDDL	0	0	1552	14
default/network/quazal/Job	0	0	532	1
default/network/quazal/JobConnectStation	0	0	3240	9
default/network/quazal/JobJoinSession	0	0	6108	15
default/network/quazal/JobListenOnWellKnown	0	0	176	1
default/network/quazal/JobProcessJoinRequest	0	0	432	1
default/network/quazal/LocalClock	0	0	124	1
default/network/quazal/MatchMaking/Client/MatchMakingClient	0	0	920	1
default/network/quazal/MatchMaking/Protocol/DynamicGatheringDDL	0	0	96	1
default/network/quazal/MatchMaking/Protocol/GameSessionDDL	0	0	132	1
default/network/quazal/MatchMaking/Protocol/GatheringDDL	0	0	96	1
default/network/quazal/ObjDupProtocol	0	0	12060	53
default/network/quazal/ParticipationManager	0	0	164	1
default/network/quazal/PromotionRefereeDDL	0	0	1540	12
default/network/quazal/ProtocolRequestBroker	0	0	184	1
default/network/quazal/RMCContext	0	0	228	1
default/network/quazal/RootDODDL	0	0	1156	14
default/network/quazal/SecureTransport/JobConnectSecureEndPoint	0	0	1116	3
default/network/quazal/SecureTransport/SecureEndPoint	0	0	524	1
default/network/quazal/SecureTransport/SecureStream	0	0	1924	22
default/network/quazal/Services/Facades/Client/JobBackEndServicesLogin	0	0	6688	21
default/network/quazal/Services/Facades/Client/JobBackEndServicesLogout	0	0	1624	3
default/network/quazal/Services/Facades/Client/JobBackEndServicesTerminate	0	0	284	1
default/network/quazal/Session	0	0	1628	1
default/network/quazal/SessionClock/SessionClockDDL	0	0	1560	13
default/network/quazal/SessionClock/SessionClockExtension	0	0	220	1
default/network/quazal/SessionDDL	0	0	2344	12
default/network/quazal/SessionDiscovery/Interface/SessionDiscoveryTable	0	0	996	5
default/network/quazal/SessionDiscovery/LAN/LANSessionDiscovery	0	0	3468	25
default/network/quazal/Stack/Core/BerkeleySocketDriver	0	0	96	1
default/network/quazal/Stack/Core/IOCompletionNotifier	0	0	716	3
default/network/quazal/Station	0	0	5836	27
default/network/quazal/StationDDL	0	0	2672	19
default/network/quazal/StationManager	0	0	3424	8
default/network/quazal/StepSequenceJob	0	0	220	1
default/network/quazal/SystemComponent	0	0	724	1
default/network/quazal/SystemComponents	0	0	288	1
default/network/quazal/Transport/Interface/ConnectionManager	0	0	780	5
default/network/quazal/Transport/Interface/HighLevelStream	0	0	524	2
default/network/quazal/Transport/Interface/JobConnectEndPoint	0	0	1984	13
default/network/quazal/Transport/Interface/NATTraversalEngine	0	0	8680	69
default/network/quazal/Transport/Interface/Network	0	0	4848	48
default/network/quazal/Transport/Interface/StationURL	0	0	7960	71
default/network/quazal/Transport/Interface/TransportSignatureGenerator	0	0	612	4
default/network/quazal/Transport/Interface/XboxConnectivityTester	0	0	544	4
default/network/quazal/Transport/PRUDP/PRUDPEndPoint	0	0	12992	64
default/network/quazal/Transport/PRUDP/PRUDPStream	0	0	8888	69
default/network/quazal/Transport/Routing/RoutingStream	0	0	352	3
default/network/quazal/Transport/UDP/PacketIn	0	0	248	3
default/network/quazal/Transport/UDP/PacketOut	0	0	552	4
default/network/quazal/Transport/UDP/QueuingSocket	0	0	2488	9
default/network/quazal/Transport/UDP/UDPTransport	0	0	6184	42
default/network/quazal/WorkerThreads	0	0	604	1
default/network/quazal/XboxLSP/Client/JobLSPLogin	0	0	3428	8
default/network/quazal/XboxLSP/Client/JobLSPLoginBypassSG	0	0	1044	1
default/network/quazal/XboxLSP/Client/LSPBackEndServices	0	0	1856	8
default/osfinfo	152	1	1296	7
default/printbuf	636	5	636	5
default/psy	10212	16	10572	19
default/res0	5444	16	5700	18
default/rtti	328	5	2132	12
default/sharedbook	1156	6	3700	12
default/smallft	5160	7	5256	8
default/ssluse	0	0	216	1
default/synthesis	460	1	460	1
default/system/bandobj/BandButton	3956	40	4720	47
default/system/bandobj/BandFaceDeform	1672	17	3488	26
default/system/bandobj/BandHeadShaper	2936	24	6156	36
default/system/bandobj/BandTrack	16640	210	30796	271
default/system/bandobj/DialogDisplay	868	18	3292	31
default/system/bandobj/ReviewDisplay	2256	26	3392	37
default/system/bandobj/UnisonIcon	2812	35	2908	36
default/system/beatmatch/BeatMaster	3952	37	5028	44
default/system/beatmatch/BeatMatchUtl	524	3	764	9
default/system/beatmatch/ButtonGuitarController	3508	26	3508	26
default/system/beatmatch/DrumMap	0	0	144	1
default/system/beatmatch/DrumMixDB	1492	14	2616	22
default/system/beatmatch/DrumTrackWatcherImpl	1932	11	2020	11
default/system/beatmatch/FillInfo	504	4	728	6
default/system/beatmatch/GameGem	432	12	2172	40
default/system/beatmatch/GameGemDB	656	11	964	13
default/system/beatmatch/GameGemList	2456	43	8196	74
default/system/beatmatch/JoypadGuitarController	2040	16	2040	16
default/system/beatmatch/JoypadMidiController	3176	31	3176	31
default/system/beatmatch/KeyboardController	2584	24	2892	25
default/system/beatmatch/PhraseAnalyzer	2308	21	3388	30
default/system/beatmatch/PhraseDB	428	7	560	8
default/system/beatmatch/PhraseList	616	7	1092	12
default/system/beatmatch/PlayerTrackConfigList	2148	29	3168	38
default/system/beatmatch/RealGuitarController	3264	26	3264	26
default/system/beatmatch/SlotChannelMapping	1592	24	2672	32
default/system/beatmatch/Submix	204	2	204	2
default/system/beatmatch/TimeSpanVector	168	1	168	1
default/system/char/CharMeshCacheMgr	1568	15	2412	17
default/system/dsp/SndAnalysis	128	4	1764	8
default/system/dsp/VibratoDetector	308	1	744	3
default/system/gesture/DrawUtl	0	0	132	2
default/system/hamobj/MiniLeaderboardDisplay	1824	27	2168	31
default/system/meta/MemcardAction	44	1	44	1
default/system/meta/MemcardMgr	332	7	452	8
default/system/meta/StoreArtLoaderPanel	1152	11	1220	12
default/system/midi/MidiReceiver	24	1	104	3
default/system/midi/MidiVarLen	140	2	140	2
default/system/net/HttpReq	20	1	20	1
default/system/obj/Dir	16500	164	27536	200
default/system/obj/Utl	1500	21	4288	24
default/system/os/UsbMidiGuitar	1300	24	3296	33
default/system/rnddx9/CubeTex	5888	100	13232	150
default/system/rnddx9/Movie	952	9	1336	11
default/system/rnddx9/Rnd	1728	16	8740	49
default/system/rnddx9/ShaderMgr	2532	30	12624	83
default/system/rndobj/CubeTex	5084	43	5592	47
default/system/rndobj/MotionBlur	3028	30	3564	35
default/system/rndobj/Movie	3128	36	4280	49
default/system/rndobj/Rnd	18420	289	34660	329
default/system/rndobj/SoftParticles	2284	26	2468	28
default/system/rndobj/Utl	15372	135	45020	210
default/system/synth/FxSend	4160	36	6212	48
default/system/synth/FxSendChorus	2452	18	2452	18
default/system/synth/FxSendCompress	2608	19	2608	19
default/system/synth/FxSendDelay	2160	18	2160	18
default/system/synth/FxSendDistortion	680	8	1164	11
default/system/synth/FxSendEQ	2880	21	2880	21
default/system/synth/FxSendFlanger	2492	18	2492	18
default/system/synth/FxSendMeterEffect	4932	42	5012	42
default/system/synth/FxSendPitchShift	680	7	1020	10
default/system/synth/FxSendReverb	2500	20	2824	24
default/system/synth/FxSendSynapse	2472	17	2696	25
default/system/synth/MidiChannel	72	1	72	1
default/system/synth/MoggClip	4964	49	5796	55
default/system/synth/OggMap	76	2	2888	14
default/system/synth/Synth	5868	81	9364	102
default/system/synth/SynthSample	2716	27	4672	39
default/system/synth/Utl	400	4	1256	12
default/system/synth/VoiceBeat	900	8	2836	12
default/system/synth_xbox/FxSend	484	6	528	7
default/system/synth_xbox/FxSendChorus	1928	23	2124	24
default/system/synth_xbox/FxSendCompress	852	11	1024	13
default/system/synth_xbox/FxSendDelay	2124	28	2124	28
default/system/synth_xbox/FxSendDistortion	1848	25	2040	27
default/system/synth_xbox/FxSendEQ	2132	28	2132	28
default/system/synth_xbox/FxSendFlanger	744	11	900	12
default/system/synth_xbox/FxSendMeterEffect	1404	18	1508	21
default/system/synth_xbox/FxSendPitchShift	0	0	188	3
default/system/synth_xbox/FxSendReverb	732	10	4760	13
default/system/synth_xbox/FxSendSynapse	80	1	548	4
default/system/synth_xbox/SampleInst360	304	11	772	17
default/system/synth_xbox/Synth	13216	151	16076	170
default/system/synth_xbox/SynthSample	432	6	464	8
default/system/ui/UIGridProvider	1340	19	1976	25
default/system/ui/UILabelDir	4500	66	9316	105
default/system/ui/UIProxy	4032	42	5060	49
default/system/utl/DeJitter	256	3	340	4
default/system/utl/LogFile	568	7	568	7
default/system/utl/SongInfoAudioType	612	7	612	7
default/system/world/Dir	120	3	1556	8
default/system/world/Reflection	120	2	120	2
default/system/world/World	236	4	276	4
default/trie	0	0	872	6
default/vec	120	1	120	1
default/window	384	2	384	2
default/xdk/LIBCMT/_ctype	0	0	132	7
default/xdk/LIBCMT/_file	0	0	656	7
default/xdk/LIBCMT/asincos	0	0	456	3
default/xdk/LIBCMT/crt0dat	0	0	608	10
default/xdk/LIBCMT/crt0msg	0	0	180	3
default/xdk/LIBCMT/crtfpr	0	0	152	36
default/xdk/LIBCMT/cvt	0	0	2920	10
default/xdk/LIBCMT/dosmap	0	0	336	4
default/xdk/LIBCMT/ehstate	0	0	276	3
default/xdk/LIBCMT/fflush	0	0	560	3
default/xdk/LIBCMT/float	0	0	528	3
default/xdk/LIBCMT/fpexcept	0	0	2736	9
default/xdk/LIBCMT/frame	0	0	3964	15
default/xdk/LIBCMT/hooks	0	0	188	5
default/xdk/LIBCMT/ieeemisc	0	0	408	5
default/xdk/LIBCMT/invarg	0	0	248	3
default/xdk/LIBCMT/mlock	0	0	648	6
default/xdk/LIBCMT/onexit	0	0	384	4
default/xdk/LIBCMT/strtol	0	0	744	3
default/xdk/LIBCMT/threadex	0	0	484	4
default/xdk/LIBCMT/tidtable	0	0	904	9
default/xdk/LIBCMT/unwind	0	0	240	3
default/xdk/LIBCMT/util	0	0	448	5
default/xdk/d3d9i/lazy	0	0	4424	8
default/xdk/d3d9i/shader	0	0	5012	20
default/xdk/d3d9i/state	0	0	1940	7
default/xdk/d3d9i/texture	0	0	1512	3
default/xdk/d3dx9/c30program	0	0	10280	15
default/xdk/d3dx9/c30swprogram	0	0	35820	74
default/xdk/d3dx9/calloc	0	0	340	3
default/xdk/d3dx9/cargument	0	0	288	4
default/xdk/d3dx9/cassembler	0	0	24156	32
default/xdk/d3dx9/cbaseprogram	0	0	2728	14
default/xdk/d3dx9/cblt	0	0	6252	8
default/xdk/d3dx9/cbuffer	0	0	668	6
default/xdk/d3dx9/ccodec	0	0	14956	36
default/xdk/d3dx9/ccommentblock	0	0	908	7
default/xdk/d3dx9/ccompiler	0	0	88164	58
default/xdk/d3dx9/cconstanttable	0	0	17576	43
default/xdk/d3dx9/cfile	0	0	392	4
default/xdk/d3dx9/cfxlprogram	0	0	5468	8
default/xdk/d3dx9/cinstruction	0	0	3152	20
default/xdk/d3dx9/clock	0	0	2776	8
default/xdk/d3dx9/cnode	0	0	11396	59
default/xdk/d3dx9/cnodeasm	0	0	404	3
default/xdk/d3dx9/cparse	0	0	52972	88
default/xdk/d3dx9/cpreprocessor	0	0	7752	30
default/xdk/d3dx9/cprogram	0	0	106104	101
default/xdk/d3dx9/cpslegacyprogram	0	0	63424	80
default/xdk/d3dx9/cpsprogram	0	0	15620	22
default/xdk/d3dx9/cshaderprogram	0	0	87968	160
default/xdk/d3dx9/ctokenize	0	0	2136	8
default/xdk/d3dx9/ctransform	0	0	4692	9
default/xdk/d3dx9/cuassembler	0	0	37632	56
default/xdk/d3dx9/cvsprogram	0	0	11572	16
default/xdk/d3dx9/d3dx9fragment	0	0	1812	3
default/xdk/d3dx9/d3dx9shader	0	0	2400	11
default/xdk/d3dx9/d3dx9tex	0	0	5420	8
default/xdk/d3dx9/d3dxmath	0	0	336	5
default/xdk/d3dx9/dxtn	0	0	7184	8
default/xdk/d3dx9/effecthll	0	0	1308	4
default/xdk/d3dx9/threadlocaldata	0	0	676	3
default/xdk/d3dx9/trees	0	0	2676	3
default/xdk/xapilibi/memfunctions	0	0	1180	3
default/xdk/xapilibi/rtlheap	0	0	9772	13
default/xdk/xapilibi/xcontentcrosstitle	0	0	1416	7
default/xdk/xapilibi/xthread	0	0	480	4
default/xdk/xaudio2/adpcm	0	0	316	6
default/xdk/xaudio2/buffer	0	0	448	3
default/xdk/xaudio2/clipper	0	0	492	3
default/xdk/xaudio2/config	0	0	4680	10
default/xdk/xaudio2/configcommon	0	0	532	3
default/xdk/xaudio2/drccommonpro	0	0	8356	14
default/xdk/xaudio2/entropydecpro	0	0	8352	15
default/xdk/xaudio2/entropydecprolsl	0	0	1672	3
default/xdk/xaudio2/entropydecstd	0	0	1568	4
default/xdk/xaudio2/graphmgr	0	0	1604	6
default/xdk/xaudio2/leapfxlib	0	0	2692	15
default/xdk/xaudio2/losslessdecpro	0	0	2096	4
default/xdk/xaudio2/lowrate_commonstd	0	0	6152	6
default/xdk/xaudio2/msaudio	0	0	8164	24
default/xdk/xaudio2/msaudiodec	0	0	28956	46
default/xdk/xaudio2/msaudiopro	0	0	5112	17
default/xdk/xaudio2/msaudiostdpro	0	0	7320	9
default/xdk/xaudio2/oapclip	0	0	1064	3
default/xdk/xaudio2/oapmatrixmix	0	0	9648	8
default/xdk/xaudio2/oapreverb	0	0	16940	26
default/xdk/xaudio2/reverb	0	0	808	4
default/xdk/xaudio2/src_fast	0	0	360	5
default/xdk/xaudio2/strmdec_wma	0	0	3332	14
default/xdk/xaudio2/strmdec_wma_xenon	0	0	3460	4
default/xdk/xaudio2/swfilter	0	0	860	4
default/xdk/xaudio2/swoutput	0	0	608	9
default/xdk/xaudio2/swvoice	0	0	5272	29
default/xdk/xaudio2/system	0	0	2692	25
default/xdk/xaudio2/voiceskin	0	0	856	4
default/xdk/xaudio2/waveutils	0	0	1088	7
default/xdk/xaudio2/wmabuffilt	0	0	1912	7
default/xdk/xaudio2/wmaltrt	0	0	2584	5
default/xdk/xaudio2/x2effectchain	0	0	908	10
default/xdk/xaudio2/x2engine	0	0	2448	22
default/xdk/xaudio2/x2mixmatrix	0	0	592	3
default/xdk/xaudio2/x2voicebase	0	0	3052	16
default/xdk/xaudio2/x2voiceoutput	0	0	1760	3
default/xdk/xaudio2/x2voicesource	0	0	1056	8
default/xdk/xaudio2/x2voicewma	0	0	432	3
default/xdk/xaudio2/x2voicexma	0	0	5944	26
default/xdk/xaudio2/x2xmahal	0	0	3780	17
default/xdk/xaudio2/xapobase	0	0	2480	15
default/xdk/xaudio2/xwmamalloc	0	0	240	4
default/xdk/xgraphics/arena	0	0	300	3
default/xdk/xgraphics/buildcfg	0	0	6620	10
default/xdk/xgraphics/buildssa	0	0	7040	9
default/xdk/xgraphics/cblt	0	0	6604	8
default/xdk/xgraphics/ccodec	0	0	13156	29
default/xdk/xgraphics/cfgimpl	0	0	1464	10
default/xdk/xgraphics/clean	0	0	27204	23
default/xdk/xgraphics/compilerinc	0	0	948	9
default/xdk/xgraphics/compress	0	0	3800	10
default/xdk/xgraphics/constreg	0	0	16264	47
default/xdk/xgraphics/convert	0	0	9644	32
default/xdk/xgraphics/desc	0	0	6148	11
default/xdk/xgraphics/dlist	0	0	400	10
default/xdk/xgraphics/dominator	0	0	2408	8
default/xdk/xgraphics/dxtn	0	0	7360	15
default/xdk/xgraphics/emit	0	0	22688	45
default/xdk/xgraphics/endian	0	0	2764	7
default/xdk/xgraphics/execopts	0	0	8964	17
default/xdk/xgraphics/finalopts	0	0	6112	17
default/xdk/xgraphics/globreg	0	0	31460	43
default/xdk/xgraphics/header	0	0	1060	5
default/xdk/xgraphics/ilprogram	0	0	304	3
default/xdk/xgraphics/import	0	0	120588	241
default/xdk/xgraphics/instr	0	0	60916	126
default/xdk/xgraphics/litevalr500	0	0	12040	35
default/xdk/xgraphics/liveness	0	0	1856	6
default/xdk/xgraphics/localreg	0	0	844	5
default/xdk/xgraphics/main	0	0	4792	28
default/xdk/xgraphics/mem	0	0	652	4
default/xdk/xgraphics/optautoz	0	0	1540	5
default/xdk/xgraphics/optimize	0	0	171008	186
default/xdk/xgraphics/peeps	0	0	20156	16
default/xdk/xgraphics/predication	0	0	48288	76
default/xdk/xgraphics/r400_addrenum	0	0	2024	6
default/xdk/xgraphics/r400psil	0	0	4816	14
default/xdk/xgraphics/r400psilutil	0	0	14928	30
default/xdk/xgraphics/r400vs	0	0	8368	10
default/xdk/xgraphics/regopt	0	0	21984	54
default/xdk/xgraphics/scheduler	0	0	26664	46
default/xdk/xgraphics/shadercost	0	0	4548	8
default/xdk/xgraphics/shaderpdbbuilder	0	0	21860	127
default/xdk/xgraphics/ssmdebug	0	0	784	4
default/xdk/xgraphics/surface	0	0	3988	8
default/xdk/xgraphics/ucode/compiler/asm/asm	0	0	25244	62
default/xdk/xgraphics/ucode/compiler/asm/disasm	0	0	8512	12
default/xdk/xgraphics/ucode/compiler/compiler	0	0	7644	33
default/xdk/xgraphics/ucode/compiler/il/ilformatdecode	0	0	476	4
default/xdk/xgraphics/ucode/compiler/il/ilinstiterator	0	0	5920	13
default/xdk/xgraphics/ucode/compiler/ir/block	0	0	3852	31
default/xdk/xgraphics/ucode/compiler/ir/cfg	0	0	28036	60
default/xdk/xgraphics/ucode/compiler/ir/expansion	0	0	37256	23
default/xdk/xgraphics/ucode/compiler/ir/irinst	0	0	9836	97
default/xdk/xgraphics/ucode/compiler/ir/linkageinfo	0	0	4808	13
default/xdk/xgraphics/ucode/compiler/ir/ssa	0	0	8700	15
default/xdk/xgraphics/ucode/compiler/ir/vregtable	0	0	3852	22
default/xdk/xgraphics/ucode/compiler/opt/globalregs	0	0	788	9
default/xdk/xgraphics/ucode/compiler/opt/interference	0	0	4924	19
default/xdk/xgraphics/ucode/compiler/opt/opt	0	0	6476	13
default/xdk/xgraphics/ucode/compiler/opt/sched	0	0	20136	45
default/xdk/xgraphics/ucode/compiler/opt/schedmodel	0	0	2268	11
default/xdk/xgraphics/ucode/driver/r500assembler	0	0	22668	60
default/xdk/xgraphics/ucode/ssm/abstractstate/as_object	0	0	1224	1
default/xdk/xgraphics/ucode/ssm/interface/ssmcallbacks	0	0	1304	6
default/xdk/xgraphics/ucode/ssm/interface/ssmdevice	0	0	2548	13
default/xdk/xgraphics/ucode/ssm/interface/ssmobject	0	0	988	5
default/xdk/xgraphics/ucode/ssm/interface/ssmregistry	0	0	568	3
default/xdk/xgraphics/ucode/ssm/statecache/hashstatecache	0	0	948	5
default/xdk/xgraphics/ucode/ssm/statecache/programstore	0	0	2608	6
default/xdk/xgraphics/ucode/ssm/statecache/shaderstore	0	0	2480	10
default/xdk/xgraphics/ucode/ssm/statecache/statepostprocessor	0	0	2128	4
default/xdk/xgraphics/ucode/ssm/statecache/statepreprocessor	0	0	1160	6
default/xdk/xgraphics/ucode/ssm/statecompiler/compiledprogram	0	0	4184	21
default/xdk/xgraphics/ucode/ssm/statecompiler/compiledshader	0	0	5772	31
default/xdk/xgraphics/ucode/ssm/statecompiler/compilertossm	0	0	19636	91
default/xdk/xgraphics/ucode/ssm/statecompiler/compilewithqueries	0	0	164	1
default/xdk/xgraphics/ucode/ssm/statecompiler/cp_common	0	0	2188	4
default/xdk/xgraphics/ucode/ssm/statecompiler/cp_compiler	0	0	4968	5
default/xdk/xgraphics/ucode/ssm/statecompiler/fetchconstallocator	0	0	2424	8
default/xdk/xgraphics/ucode/ssm/statecompiler/internalconstallocator	0	0	1168	7
default/xdk/xgraphics/ucode/ssm/statecompiler/shaderrecycler	0	0	2968	6
default/xdk/xgraphics/ucode/ssm/statecompiler/ssmstatecompiler	0	0	2628	6
default/xdk/xgraphics/ucode/ssm/statecompiler/txserver	0	0	656	2
default/xdk/xgraphics/ucode/ssm/translator/xltconvert	0	0	53484	67
default/xdk/xgraphics/ucode/ssm/util/hashtable	0	0	2120	11
default/xdk/xgraphics/ucode/ssm/util/linkedlist	0	0	8092	45
default/xdk/xgraphics/ucode/ssm/util/linkedlistfactories	0	0	2952	12
default/xdk/xgraphics/ucode/ssm/util/ternary	0	0	1336	7
default/xdk/xgraphics/vector	0	0	2020	12
default/xdk/xgraphics/vectorize	0	0	110688	113
default/xdk/xgraphics/volume	0	0	3008	6
default/xdk/xgraphics/vreginfo	0	0	5608	27
default/xdk/xgraphics/vregprops	0	0	1408	16
default/xdk/xgraphics/xenoncompress	0	0	2592	6
default/xdk/xgraphics/xenosem	0	0	5700	7
default/xdk/xhv2/codec	0	0	1032	5
default/xdk/xhv2/engine	0	0	1136	6
default/xdk/xhv2/jitter	0	0	3272	11
default/xdk/xhv2/localtalker	0	0	3752	12
default/xdk/xhv2/loopback	0	0	1364	9
default/xdk/xhv2/micproxy	0	0	3348	9
default/xdk/xhv2/packets	0	0	968	7
default/xdk/xhv2/procmode	0	0	220	3
default/xdk/xhv2/remotetalker	0	0	2848	14
default/xdk/xhv2/voicechat	0	0	3080	13
default/xdk/xhv2/xhv	0	0	476	4
default/xdk/xinput2/tables	0	0	960	5
default/xdk/xinput2/xinput2	0	0	2900	14
default/xdk/xmcore/lf	0	0	7464	18
default/xdk/xmcore/winhelper	0	0	188	4
default/xdk/xmic/ciiasac60	0	0	356	3
default/xdk/xmic/decasac	0	0	940	4
default/xdk/xmic/xmicapi	0	0	5468	25
default/xdk/xnet/sockapi	0	0	332	10
default/xdk/xonline/endian	0	0	1180	13
default/xdk/xonline/marshal	0	0	2400	4
default/xdk/xonline/marshsup	0	0	804	5
default/xdk/xonline/schema	0	0	1552	9
default/xdk/xonline/xbosfall06	0	0	1364	4
default/xdk/xonline/xoncore	0	0	996	8
