stratum	fuzzy	mpn	size	n_mismatch	signature	opc_jaccard	LSobj_imm	LSr1_imm	unit	symbol
>=99	99.953	99.953	1104	13	SOURCE_ARGVAL	1.0	0	1	default/BandCrowdMeter	?SyncObjects@BandCrowdMeter@@UAAXXZ
>=99	99.952	99.952	84	1	SOURCE_ARGVAL	1.0	0	0	default/UIList	??$__destroy_mv_srcs@PAV?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@V12@@stlpmtx_std@@YAXPAV?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@0@00@Z
>=99	99.952	99.952	84	1	SOURCE_ARGVAL	1.0	0	0	default/BandSongMetadata	?_M_create_node@?$_Rb_tree@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@U?$pair@$$CBVSymbol@@VString@@@3@U?$_Select1st@U?$pair@$$CBVSymbol@@VString@@@stlpmtx_std@@@3@U?$_MapTraitsT@U?$pair@$$CBVSymbol@@VString@@@stlpmtx_std@@@priv@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@VString@@@stlpmtx_std@@@3@@stlpmtx_std@@IAAPAU_Rb_tree_node_base@2@ABU?$pair@$$CBVSymbol@@VString@@@2@@Z
>=99	99.952	99.952	84	1	SOURCE_ARGVAL	1.0	0	0	default/ClipDistMap	??$__destroy_range@PAUDistEntry@@U1@@stlpmtx_std@@YAXPAUDistEntry@@00@Z
>=99	99.951	100.000	1644	2	CODEGEN_REGALLOC	1.0	0	0	default/EQEffect	?SetParameter@EQEffect@@QAAXHM@Z
>=99	99.951	100.000	816	1	CODEGEN_REGALLOC	1.0	0	0	default/Lit_NG	?Shell@NgFur@@UBA_NHPAVRndMesh@@PAVRndMat@@@Z
>=99	99.950	99.950	80	1	SOURCE_ARGVAL	1.0	0	0	default/HamCamTransform	??$_Destroy_Range@PAUNavItem@HamNavProvider@@@stlpmtx_std@@YAXPAUNavItem@HamNavProvider@@0@Z
>=99	99.950	99.950	80	1	SOURCE_ARGVAL	1.0	0	0	default/HamCamTransform	??$_Destroy_Range@PAUCharInterestState@CharEyes@@@stlpmtx_std@@YAXPAUCharInterestState@CharEyes@@0@Z
>=99	99.950	99.950	80	1	SOURCE_ARGVAL	1.0	0	0	default/Character	??$_Destroy_Range@PAULod@Character@@@stlpmtx_std@@YAXPAULod@Character@@0@Z
>=99	99.950	99.950	80	1	SOURCE_ARGVAL	1.0	0	0	default/Flow	??$__destroy_range@PAUDynamicPropertyEntry@Flow@@U12@@stlpmtx_std@@YAXPAUDynamicPropertyEntry@Flow@@00@Z
>=99	99.950	99.950	80	1	SOURCE_ARGVAL	1.0	0	0	default/HamListRibbon	??_GHamListRibbon@@UAAPAXI@Z
>=99	99.950	99.950	80	1	SOURCE_ARGVAL	1.0	0	0	default/CharIKHand	??$_Destroy_Range@PAUIKTarget@CharIKHand@@@stlpmtx_std@@YAXPAUIKTarget@CharIKHand@@0@Z
>=99	99.950	99.950	80	1	SOURCE_ARGVAL	1.0	0	0	default/MeterDisplay	??_GMeterDisplay@@UAAPAXI@Z
>=99	99.950	99.950	80	1	SOURCE_ARGVAL	1.0	0	0	default/ScreenMask	??_GRndScreenMask@@UAAPAXI@Z
>=99	99.950	99.950	80	1	SOURCE_ARGVAL	1.0	0	0	default/CharFeedback	??_GCharFeedback@@UAAPAXI@Z
>=99	99.950	99.950	80	1	SOURCE_ARGVAL	1.0	0	0	default/Ribbon	??_GRndRibbon@@UAAPAXI@Z
>=99	99.950	99.950	80	1	SOURCE_ARGVAL	1.0	0	0	default/Leaderboard	??$_Destroy_Range@PAVLeaderboardRow@@@stlpmtx_std@@YAXPAVLeaderboardRow@@0@Z
>=99	99.946	99.946	224	3	SOURCE_ARGVAL	1.0	3	0	default/band3/meta_band/BandStorePanel	?Enter@BandStorePanel@@UAAXXZ
>=99	99.946	99.991	896	2	SOURCE_ARGVAL	1.0	2	0	default/GemManager	??0GemManager@@QAA@ABVTrackConfig@@PAVTrackDir@@@Z
>=99	99.946	100.000	736	1	CODEGEN_REGALLOC	1.0	0	0	default/band3/meta_band/Asset	??0Asset@@QAA@PAVDataArray@@H@Z
>=99	99.945	100.000	732	1	CODEGEN_REGALLOC	1.0	0	0	default/VocalTrack	?UpdateLyricZ@VocalTrack@@QAAXXZ
>=99	99.944	99.944	72	1	SOURCE_ARGVAL	1.0	0	0	default/EventTrigger	?_M_create_node@?$list@UAnim@EventTrigger@@V?$StlNodeAlloc@UAnim@EventTrigger@@@stlpmtx_std@@@stlpmtx_std@@IAAPAU_List_node_base@2@ABUAnim@EventTrigger@@@Z
>=99	99.944	99.944	72	1	SOURCE_ARGVAL	1.0	0	0	default/RhythmDetector	?_M_create_node@?$list@UFrame@RhythmDetector@@V?$StlNodeAlloc@UFrame@RhythmDetector@@@stlpmtx_std@@@stlpmtx_std@@IAAPAU_List_node_base@2@ABUFrame@RhythmDetector@@@Z
>=99	99.944	99.944	72	1	SOURCE_ARGVAL	1.0	0	0	default/Msg	?_M_create_node@?$list@UEventSinkElem@MsgSinks@@V?$StlNodeAlloc@UEventSinkElem@MsgSinks@@@stlpmtx_std@@@stlpmtx_std@@IAAPAU_List_node_base@2@ABUEventSinkElem@MsgSinks@@@Z
>=99	99.944	99.944	72	1	SOURCE_ARGVAL	1.0	0	0	default/Cheats	?_M_create_node@?$list@UPropTriggerDefn@FlowTrigger@@V?$StlNodeAlloc@UPropTriggerDefn@FlowTrigger@@@stlpmtx_std@@@stlpmtx_std@@IAAPAU_List_node_base@2@ABUPropTriggerDefn@FlowTrigger@@@Z
>=99	99.944	99.944	72	1	SOURCE_ARGVAL	1.0	0	0	default/FlowCommand	?_M_create_node@?$list@VDataNode@@V?$StlNodeAlloc@VDataNode@@@stlpmtx_std@@@stlpmtx_std@@IAAPAU_List_node_base@2@ABVDataNode@@@Z
>=99	99.941	99.941	136	2	SOURCE_ARGVAL	1.0	0	0	default/DepthBuffer3D	??1?$vector@VFlowMathOp@@V?$StlNodeAlloc@VFlowMathOp@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ
>=99	99.941	99.941	68	1	SOURCE_ARGVAL	1.0	1	0	default/HamCamTransform	?resize@?$ObjVector@UEyeDesc@CharEyes@@@@QAAXI@Z
>=99	99.941	99.941	136	2	SOURCE_ARGVAL	1.0	0	1	default/PlayerDiffIcon	?Save@PlayerDiffIcon@@UAAXAAVBinStream@@@Z
>=99	99.938	100.000	648	1	CODEGEN_REGALLOC	1.0	0	0	default/CalibrationPanel	?UpdateAnimation@CalibrationPanel@@QAAXXZ
>=99	99.938	100.000	1296	2	CODEGEN_REGALLOC	1.0	0	0	default/system/rndobj/Utl	?LinearizeKeys@@YAXPAVRndTransAnim@@MMMMM@Z
>=99	99.938	99.938	128	2	SOURCE_ARGVAL	1.0	0	0	default/Character	?resize@?$vector@ULod@Character@@V?$StlNodeAlloc@ULod@Character@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABULod@Character@@@Z
>=99	99.938	99.938	128	2	SOURCE_ARGVAL	1.0	0	0	default/SongLayout	?resize@?$vector@VSongPattern@@V?$StlNodeAlloc@VSongPattern@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABVSongPattern@@@Z
>=99	99.938	99.938	128	2	SOURCE_ARGVAL	1.0	0	0	default/HamRibbon	?resize@?$vector@V?$Key@VTransform@@@@V?$StlNodeAlloc@V?$Key@VTransform@@@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABV?$Key@VTransform@@@@@Z
>=99	99.938	99.938	128	2	SOURCE_ARGVAL	1.0	0	0	default/CharHair	?resize@?$vector@VStrand@CharHair@@V?$StlNodeAlloc@VStrand@CharHair@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABVStrand@CharHair@@@Z
