obj	obj_conf	unit_suggest	unit_src	cls	label_votes	label_conf	n_fns	n_template	n_arbitrary	n_objres	span_lo	span_hi	span_bytes	owned_bytes	overlap_pinned	overlap_sibling	flags
xgraphics:irinst.obj	1.000	xdk/xgraphics/ucode/compiler/ir/irinst.cpp	MAIN	IRFetch,IRUnary,IRMovBase	1	0.062	16	0	0	16	0x82A5A3E0	0x82A5AAD8	1784	1656	0	0	-
d3dx9:cuassembler.obj	1.000	xdk/d3dx9/cuassembler.cpp	DC3	D3DXShader,CUAssembler	3	0.750	4	0	0	4	0x828B8EA8	0x828B951C	1652	1644	0	0	-
xaudio2:x2voicexma.obj	1.000	xdk/xaudio2/x2voicexma.cpp	DC3	CX2SourceVoiceXMA	7	1.000	7	0	0	7	0x82BD1C20	0x82BD225C	1596	1588	0	0	-
xaudio2:entropydecstd.obj	1.000	xdk/xaudio2/entropydecstd.cpp	DC3	xWMA	4	1.000	4	0	0	4	0x82C04048	0x82C04674	1580	1568	0	0	-
d3dx9:d3dx9shader.obj	1.000	xdk/d3dx9/d3dx9shader.cpp	DC3	D3DXShader,PreProcessorInitializeFromMemory	2	0.333	6	0	0	6	0x82876C88	0x828772B4	1580	1564	0	0	-
xaudio2:x2voicebase.obj	1.000	xdk/xaudio2/x2voicebase.cpp	DC3	CX2Voice	5	0.833	6	0	0	6	0x82BE6130	0x82BE6744	1556	1556	0	0	-
xonline:schema.obj	1.000	xdk/xonline/schema.cpp	DC3	CSchemaAccess,CSchemaData,CSchemaInMemory	6	0.667	9	0	0	9	0x82A6B640	0x82A6BC60	1568	1552	0	0	-
xgraphics:optautoz.obj	1.000	xdk/xgraphics/optautoz.cpp	DC3	Compiler,Instruction	3	0.600	5	0	0	5	0x82966990	0x82966F9C	1548	1540	0	0	-
xgraphics:convert.obj	1.000	xdk/xgraphics/convert.cpp	DC3	-	0	0.000	5	0	0	5	0x82935F80	0x82936588	1544	1536	0	0	-
d3d9i:texture.obj	1.000	xdk/d3d9i/texture.cpp	DC3	D3D	3	1.000	3	0	0	3	0x82853798	0x82853D80	1512	1512	0	0	-
xaudio2:x2voicexma.obj	1.000	xdk/xaudio2/x2voicexma.cpp	DC3	CBlock,CX2SourceVoiceXMA	3	0.429	7	0	0	7	0x82BD2810	0x82BD2DEC	1500	1488	0	0	-
xgraphics:cfgimpl.obj	1.000	xdk/xgraphics/cfgimpl.cpp	DC3	Block,Instruction,DataFlowPredecessorEnumerator	8	0.800	10	0	0	10	0x82A30578	0x82A30B48	1488	1464	0	0	-
xaudio2:swvoice.obj	1.000	xdk/xaudio2/swvoice.cpp	DC3	CSWVoice	10	0.769	13	3	0	13	0x82C08880	0x82C08E34	1460	1440	0	0	-
xaudio2:swvoice.obj	1.000	xdk/xaudio2/swvoice.cpp	DC3	CSWVoice	6	0.857	7	0	0	7	0x82C09950	0x82C09EFC	1452	1428	0	0	-
xaudio2:oapreverb.obj	1.000	xdk/xaudio2/oapreverb.cpp	DC3	COAPReverbOcclusionMono,COAPReverbOcclusionStereo	2	0.500	4	0	0	4	0x82BD9928	0x82BD9EB8	1424	1416	0	0	-
xgraphics:vregprops.obj	1.000	xdk/xgraphics/vregprops.cpp	DC3	TempValue,FixedValue,Interpolator	1	0.062	16	0	0	16	0x82A666E8	0x82A66C68	1408	1408	0	0	-
xaudio2:x2voicexma.obj	1.000	xdk/xaudio2/x2voicexma.cpp	DC3	CX2SourceVoiceXMA,CPhysicalMemoryPool	3	0.750	4	0	0	4	0x82BD3178	0x82BD36EC	1396	1392	0	0	-
xgraphics:shaderpdbbuilder.obj	1.000	xdk/xgraphics/shaderpdbbuilder.cpp	DC3	BufferStream	3	0.273	11	6	0	11	0x829388D8	0x82938E8C	1460	1388	0	0	-
d3dx9:ccodec.obj	1.000	xdk/d3dx9/ccodec.cpp	DC3	CCodec_L6V5U5,CCodec_X8L8V8U8,CCodec_Q8W8V8U8	1	0.250	4	0	0	4	0x82884800	0x82884D5C	1372	1372	0	0	-
xgraphics:ccodec.obj	1.000	xdk/xgraphics/ccodec.cpp	DC3	CCodec_L6V5U5,CCodec_X8L8V8U8,CCodec_Q8W8V8U8	1	0.250	4	0	0	4	0x82A07870	0x82A07DCC	1372	1372	0	0	-
xonline:xbosfall06.obj	1.000	xdk/xonline/xbosfall06.cpp	DC3	-	0	0.000	4	0	0	4	0x82A6AF80	0x82A6B4DC	1372	1364	0	0	-
xhv2:loopback.obj	1.000	xdk/xhv2/loopback.cpp	DC3	-	0	0.000	9	0	0	9	0x82C16538	0x82C16A9C	1380	1364	0	0	-
xaudio2:xapobase.obj	1.000	xdk/xaudio2/xapobase.cpp	DC3	CXAPOBase,CXAPOParametersBase	4	0.667	6	0	0	6	0x82BC0C58	0x82BC11B8	1376	1360	0	0	-
xgraphics:ilinstiterator.obj	1.000	xdk/xgraphics/ucode/compiler/il/ilinstiterator.cpp	MAIN	ILFormatDecode,ILInstIterator,XGRAPHICS	7	0.700	10	0	0	10	0x82A3F8F8	0x82A3FE4C	1364	1328	0	0	-
xaudio2:system.obj	1.000	xdk/xaudio2/system.cpp	DC3	CLeapSystem	8	1.000	8	0	0	8	0x82BE34C0	0x82BE39F0	1328	1316	0	0	-
d3dx9:effecthll.obj	1.000	xdk/d3dx9/effecthll.cpp	DC3	CParse	4	1.000	4	0	0	4	0x8292F458	0x8292F97C	1316	1308	0	0	-
