# sympair queue -- rows realizable by relocation-NAME correction alone.
# Generated by tools/sympair_queue.py (lane W7-SYMPAIR, from W2-ENGINE's charged.py/sweep.py).
# ⚠ A pair here is EITHER a wrong map name (fixable, pays) OR an ICF fold
#   (irreducible). The metric CANNOT separate them -- adjudicate on retail
#   bytes with tools/retail_callers.py using tgt_addr below.
# size_if_it_crosses = bytes this row adds to matched_code IF every pair is fixed.
# pair_class: FOLD_FANIN=irreducible ICF survivor · RECIPROCAL=transposed
#   map bijection (a fold cannot transpose across two addresses) ·
#   OURS_UNMAPPED=our callee has no retail address (identification backlog).
# map_arbitrary: target addr is in the map's own _bijection_arbitrary/_icf_arbitrary list.
size	fuzzy	mpn	class	pair_class	map_arbitrary	unit	categories	symbol	n_pairs	sites	tgt_addr	target_symbol	our_symbol
2084	99.32822	100.000	SYMPAIR_ONLY_4	RECIPROCAL	no	default/ByteGrinder	engine	?Init@ByteGrinder@@QAAXXZ	4	2	0x827256c8	?getRandomSequence32A@@YA?AVDataNode@@PAVDataArray@@@Z	?getRandomSequence32B@@YA?AVDataNode@@PAVDataArray@@@Z
2084	99.32822	100.000	SYMPAIR_ONLY_4	RECIPROCAL	no	default/ByteGrinder	engine	?Init@ByteGrinder@@QAAXXZ	4	2	0x827255f0	?getRandomSequence32B@@YA?AVDataNode@@PAVDataArray@@@Z	?getRandomSequence32A@@YA?AVDataNode@@PAVDataArray@@@Z
2084	99.32822	100.000	SYMPAIR_ONLY_4	OURS_UNMAPPED	no	default/ByteGrinder	engine	?Init@ByteGrinder@@QAAXXZ	4	2	0x82726e80	?op40@@YA?AVDataNode@@PAVDataArray@@@Z	?op58@@YA?AVDataNode@@PAVDataArray@@@Z
2084	99.32822	100.000	SYMPAIR_ONLY_4	FOLD_FANIN	no	default/ByteGrinder	engine	?Init@ByteGrinder@@QAAXXZ	4	64	0x82b5f808	?push_back@?$vector@PAVChatReceiver@@V?$StlNodeAlloc@PAVChatReceiver@@@stlpmtx_std@@@stlpmtx_std@@QAAXABQAVChatReceiver@@@Z	?push_back@?$vector@P6A?AVDataNode@@PAVDataArray@@@ZV?$StlNodeAlloc@P6A?AVDataNode@@PAVDataArray@@@Z@stlpmtx_std@@@stlpmtx_std@@QAAXABQ6A?AVDataNode@@PAVDataArray@@@Z@Z
1932	99.98965	100.000	SYMPAIR_ONLY_1	OURS_UNMAPPED	no	default/RockCentral	game	?RecordScore@RockCentral@@QAAXHHAAV?$vector@VPlayerScore@@V?$StlNodeAlloc@VPlayerScore@@@stlpmtx_std@@@stlpmtx_std@@HH_NPAVObject@Hmx@@AAVDataResultList@@@Z	1	1	0x82510040	?SystemLocale@@YA?AVSymbol@@XZ	?SystemLanguage@@YA?AVSymbol@@XZ
1916	99.98956	100.000	SYMPAIR_ONLY_1	FOLD_FANIN	no	default/UI	engine	?Init@UIManager@@UAAXXZ	1	1	0x823d14c0	?insert@?$list@PAVCharClip@@V?$StlNodeAlloc@PAVCharClip@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@PAVCharClip@@U?$_Nonconst_traits@PAVCharClip@@@stlpmtx_std@@@2@U32@ABQAVCharClip@@@Z	?insert@?$list@P6AXXZV?$StlNodeAlloc@P6AXXZ@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@P6AXXZU?$_Nonconst_traits@P6AXXZ@stlpmtx_std@@@2@U32@ABQ6AXXZ@Z
1840	99.95652	100.000	SYMPAIR_ONLY_3	FOLD_FANIN	no	default/Instance	engine	?SyncDir@WorldInstance@@AAAXXZ	3	1	0x82370c80	??0?$list@PAUDep@CharPollableSorter@@V?$StlNodeAlloc@PAUDep@CharPollableSorter@@@stlpmtx_std@@@stlpmtx_std@@QAA@ABV01@@Z	??0?$list@PAVObjRefOwner@@V?$StlNodeAlloc@PAVObjRefOwner@@@stlpmtx_std@@@stlpmtx_std@@QAA@ABV01@@Z
1840	99.95652	100.000	SYMPAIR_ONLY_3	UNKNOWN	no	default/Instance	engine	?SyncDir@WorldInstance@@AAAXXZ	3	1	0x823587b0	??E?$ObjDirItr@VCharBone@@@@QAAAAV0@XZ	??E?$ObjDirItr@VObject@Hmx@@@@QAAAAV0@XZ
1840	99.95652	100.000	SYMPAIR_ONLY_3	FOLD_FANIN	no	default/Instance	engine	?SyncDir@WorldInstance@@AAAXXZ	3	2	0x823d6fa8	?insert@?$list@UWeightContext@CharBone@@V?$StlNodeAlloc@UWeightContext@CharBone@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@UWeightContext@CharBone@@U?$_Nonconst_traits@UWeightContext@CharBone@@@stlpmtx_std@@@2@U32@ABUWeightContext@CharBone@@@Z	?insert@?$list@UObjPair@@V?$StlNodeAlloc@UObjPair@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@UObjPair@@U?$_Nonconst_traits@UObjPair@@@stlpmtx_std@@@2@U32@ABUObjPair@@@Z
1836	99.96732	100.000	SYMPAIR_ONLY_2	OURS_UNMAPPED	no	default/system/rndobj/Rnd	engine	?PreInit@Rnd@@UAAXXZ	2	2	0x8240e9c0	?NewObject@Object@Hmx@@SAPAV12@XZ	?NewObject@DOFProc@@SAPAVObject@Hmx@@XZ
