unit	sym	billed	fuzzy	mpn	cls	n_charged	same_opcode_multiset	argkinds	src
default/BandWardrobe	?LoadMainCharacters@BandWardrobe@@QAAXPAVBandCamShot@@@Z	1776	99.78829	99.99099	SOURCE_ARG(imm/opcode/branch)	17	True	{'register': 18, 'relocname': 6, 'immediate': 4}	src/system/bandobj/BandWardrobe.cpp
default/CameraShot	?Interp@CamShotFrame@@QAAXABV1@MMPAVRndCam@@@Z	1772	99.0632	99.08578	SOURCE_INSDEL	9	False	{'immediate': 5, 'register': 2}	src/system/world/CameraShot.cpp
default/CharEyes	?LidTrackAndClampingUpdate@CharEyes@@IAAXAAUEyeDesc@1@M@Z	1764	98.993195	99.40136	CODEGEN_ORDERING	86	True	{'immediate': 64, 'register': 36, 'relocname': 2}	src/system/char/CharEyes.cpp
default/CharBones	?ScaleAdd@CharBones@@QBAXAAV1@M@Z	1756	73.006836	77.50569	SOURCE_INSDEL	356	False	{'relocname': 12, 'register': 382, 'immediate': 55, 'branchdest': 10, 'opcode': 12}	src/system/char/CharBones.cpp
default/BandWardrobe	?OnEnterVignette@BandWardrobe@@QAA?AVDataNode@@PAVDataArray@@@Z	1692	89.01182	90.12293	SOURCE_INSDEL	140	False	{'immediate': 37, 'register': 84, 'relocname': 19, 'branchdest': 4, 'opcode': 9}	src/system/bandobj/BandWardrobe.cpp
default/Spotlight	?BuildNGCone@Spotlight@@IAAXAAUBeamDef@1@H@Z	1692	66.728134	71.04256	SOURCE_INSDEL	371	False	{'register': 355, 'relocname': 3, 'immediate': 80, 'opcode': 16, 'branchdest': 4}	src/system/world/Spotlight.cpp
default/BandDirector	?Enter@BandDirector@@UAAXXZ	1688	98.1019	98.11375	SOURCE_INSDEL	44	False	{'immediate': 36, 'opcode': 1, 'register': 1}	src/system/bandobj/BandDirector.cpp
default/CharEyes	?NextLook@CharEyes@@IAAXXZ	1684	66.82898	69.96437	SOURCE_INSDEL	335	False	{'relocname': 10, 'immediate': 46, 'register': 257, 'opcode': 15, 'branchdest': 3}	src/system/char/CharEyes.cpp
default/AmbientOcclusion	?SmoothResults@RndAmbientOcclusion@@IBAXPAVRndMesh@@@Z	1672	68.01675	70.51675	SOURCE_INSDEL	281	False	{'immediate': 64, 'register': 207, 'opcode': 11, 'branchdest': 2, 'relocname': 3}	src/system/rndobj/AmbientOcclusion.cpp
default/CalibrationPanel	?OnInitializeContent@CalibrationPanel@@QAA?AVDataNode@@PAVDataArray@@@Z	1668	98.94485	98.992805	SOURCE_INSDEL	8	False	{'register': 4, 'relocname': 1, 'opcode': 2}	src/band3/meta_band/CalibrationPanel.cpp
default/PracticePanel	?Poll@PracticePanel@@UAAXXZ	1656	98.63043	98.78744	SOURCE_INSDEL	20	False	{'immediate': 2, 'register': 12, 'relocname': 4, 'branchdest': 1}	src/band3/game/PracticePanel.cpp
default/CharBones	?RotateTo@CharBones@@QBAXAAV1@M@Z	1644	73.86131	79.9927	SOURCE_INSDEL	350	False	{'relocname': 10, 'register': 499, 'immediate': 38, 'opcode': 8}	src/system/char/CharBones.cpp
default/Synapse_dsp	??0Synapse@0DSP@@QAA@M@Z	1620	85.693825	86.755554	SOURCE_INSDEL	162	False	{'relocname': 16, 'immediate': 44, 'opcode': 12, 'register': 77}	src/system/synth_xbox/Synapse_dsp.cpp
default/CharEyes	?Poll@CharEyes@@UAAXXZ	1616	96.61881	98.10396	SOURCE_INSDEL	108	False	{'register': 120, 'relocname': 6, 'immediate': 6, 'opcode': 4, 'branchdest': 2}	src/system/char/CharEyes.cpp
default/CameraShot	?Handle@CamShot@@UAA?AVDataNode@@PAVDataArray@@_N@Z	1596	93.63659	93.91228	SOURCE_INSDEL	42	False	{'register': 14, 'immediate': 1}	src/system/world/CameraShot.cpp
