unit,symbol,div_class,confidence,before_evidence,fuzzy,mpn,size,byte_identical,screen
default/ChordbookPanel,?DisplayChord@ChordbookPanel@@QAAXI@Z,wild_jump_match,stable_divergent,divergent,97.16,97.49,3436,0,SURVIVES_BOTH_SCREENS
default/ChordbookPanel,?Enter@ChordbookPanel@@UAAXXZ,call_count,stable_divergent,divergent,50.45,51.04,304,0,SURVIVES_BOTH_SCREENS
default/ClipGraphGen,?TypeDef@Object@Hmx@@QBAPAVDataArray@@XZ,call_count,stable_divergent,divergent,69.50,69.50,8,0,SURVIVES_BOTH_SCREENS
default/ColorPalette,?push_back@?$vector@VColor@Hmx@@V?$StlNodeAlloc@VColor@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAAXABVColor@Hmx@@@Z,call_count,stable_divergent,divergent,2.91,4.53,136,0,SURVIVES_BOTH_SCREENS
default/Console,??6@YAAAVTextStream@@AAV0@ABUInstance@RndMultiMesh@@@Z,call_count,stable_divergent,divergent,65.00,65.33,60,0,SURVIVES_BOTH_SCREENS
default/Console,?insert@?$list@UBreakpoint@RndConsole@@V?$StlNodeAlloc@UBreakpoint@RndConsole@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@UBreakpoint@RndConsole@@U?$_Nonconst_traits@UBreakpoint@RndConsole@@@stlpmtx_std@@@2@U32@ABUBreakpoint@RndConsole@@@Z,call_count,stable_divergent,divergent,18.77,19.55,256,0,SURVIVES_BOTH_SCREENS
default/ContentMgr_Xbox,??$Obj@VCharPollable@@@DataNode@@QBAPAVCharPollable@@PBVDataArray@@@Z,call_count,stable_divergent,divergent,31.80,33.13,60,0,SURVIVES_BOTH_SCREENS
default/ContentMgr_Xbox,?Init@XboxContentMgr@@UAAXXZ,call_count,stable_divergent,divergent,0.00,1.33,120,0,SURVIVES_BOTH_SCREENS
default/CreditsPanel,??0CreditsPanel@@AAA@XZ,object_memory,stable_divergent,divergent,100.00,100.00,204,0,SURVIVES_BOTH_SCREENS
default/CrowdAudio,??0CrowdAudio@@QAA@XZ,call_count,stable_divergent,divergent,86.64,86.94,608,0,SURVIVES_BOTH_SCREENS
default/DOFProc_NG,?SetVHBlurWeights@@YAX_NHH@Z,wild_jump_match,stable_divergent,divergent,76.91,78.18,740,0,SURVIVES_BOTH_SCREENS
default/DataFunc,?DataSyncReloadLocale@@YA?AVDataNode@@PAVDataArray@@@Z,call_arg,stable_divergent,divergent,84.94,85.22,72,0,SURVIVES_BOTH_SCREENS
default/DataNode,??8DataNode@@QBA_NABV0@@Z,call_count,stable_divergent,divergent,98.23,98.28,464,0,SURVIVES_BOTH_SCREENS
default/DataNode,??9DataNode@@QBA_NABV0@@Z,call_count,stable_divergent,divergent,100.00,100.00,44,1,BYTE_IDENTICAL_ARTIFACT
default/DataNode,??A?$map@VSymbol@@VDataNode@@U?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@VDataNode@@@stlpmtx_std@@@4@@stlpmtx_std@@QAAAAVDataNode@@ABVSymbol@@@Z,call_count,stable_divergent,divergent,63.73,64.73,220,0,SURVIVES_BOTH_SCREENS
default/DataNode,?DataVariable@@YAAAVDataNode@@VSymbol@@@Z,call_count,stable_divergent,divergent,100.00,100.00,48,1,BYTE_IDENTICAL_ARTIFACT
default/Debug,??__EgNotifies@@YAXXZ,call_count,stable_divergent,divergent,60.00,60.00,12,0,SURVIVES_BOTH_SCREENS
default/Debug,?DevHostname@@YAPBDVSymbol@@@Z,call_count,stable_divergent,divergent,24.69,26.41,128,0,SURVIVES_BOTH_SCREENS
default/DefaultPhysicsManager,??0?$list@PAVRndMesh@@V?$StlNodeAlloc@PAVRndMesh@@@stlpmtx_std@@@stlpmtx_std@@QAA@ABV01@@Z,unmapped_access_mismatch,stable_divergent,divergent,97.41,97.93,116,0,SURVIVES_BOTH_SCREENS
default/DepthBuffer3D,?DoPost@NgPostProc@@UAAXXZ,call_count,stable_divergent,divergent,0.00,0.97,124,0,SURVIVES_BOTH_SCREENS
default/DepthBuffer3D,?Speed@UIList@@QBAMXZ,call_arg,stable_divergent,divergent,97.00,97.00,8,0,SURVIVES_BOTH_SCREENS
default/DirLoader,??0DirLoader@@QAA@ABVFilePath@@W4LoaderPos@@PAVCallback@Loader@@PAVBinStream@@PAVObjectDir@@_N@Z,call_count,stable_divergent,divergent,38.64,39.80,464,0,SURVIVES_BOTH_SCREENS
default/DuplicatedObject,?GetInstanceFromVector@InstanceTable@Quazal@@QAAIII@Z,call_count,stable_divergent,divergent,31.44,33.19,172,0,SURVIVES_BOTH_SCREENS
default/DuplicatedObject,?IsInDuplicationSet@DuplicatedObject@Quazal@@QBA_NVDOHandle@2@@Z,call_count,stable_divergent,divergent,1.24,6.00,84,0,SURVIVES_BOTH_SCREENS
default/EndingBonus,??2Task@@SAPAXI@Z,call_count,stable_divergent,divergent,0.00,0.00,4,0,SURVIVES_BOTH_SCREENS
default/EnvAnim,??1RndEnvAnim@@UAA@XZ,call_count,stable_divergent,divergent,99.91,99.91,224,0,SURVIVES_BOTH_SCREENS
default/EnvAnim,??_G?$ObjOwnerPtr@VRndEnvAnim@@@@UAAPAXI@Z,call_count,stable_divergent,divergent,99.74,99.74,76,1,BYTE_IDENTICAL_ARTIFACT
default/EnvAnim,??_GRndEnvAnim@@UAAPAXI@Z,call_count,stable_divergent,divergent,99.71,99.71,68,1,BYTE_IDENTICAL_ARTIFACT
default/EnvAnim,?Load@RndEnvAnim@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,100.00,100.00,12,1,BYTE_IDENTICAL_ARTIFACT
default/EnvAnim,?Load@RndEnvAnim@@UAAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,62.31,64.31,220,0,SURVIVES_BOTH_SCREENS
default/Env_NG,??__F?sBloom@NgPostProc@@1V?$BloomTextures@$02@1@A@@YAXXZ,call_arg,stable_divergent,divergent,80.00,80.00,12,0,SURVIVES_BOTH_SCREENS
default/EventAnim,??0EventAnim@@QAA@XZ,object_memory,stable_divergent,divergent,100.00,100.00,304,0,SURVIVES_BOTH_SCREENS
default/EventTrigger,??0Anim@EventTrigger@@QAA@PAVObject@Hmx@@@Z,call_count,stable_divergent,divergent,62.91,64.19,188,0,SURVIVES_BOTH_SCREENS
default/EventTrigger,??4?$vector@VSingerStats@@V?$StlNodeAlloc@VSingerStats@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z,call_count,stable_divergent,divergent,4.88,7.12,268,0,SURVIVES_BOTH_SCREENS
default/EventTrigger,?LoadOldAnim@EventTrigger@@IAAXAAVBinStream@@PAVRndAnimatable@@@Z,call_count,stable_divergent,divergent,100.00,100.00,312,0,SURVIVES_BOTH_SCREENS
default/EventTrigger,?MainThread@@YA_NXZ,call_count,stable_divergent,divergent,100.00,100.00,80,1,BYTE_IDENTICAL_ARTIFACT
