cluster_id	unit	shared_type	rows	bytes	regclean_rows	bands	sym	billed	fuzzy	n_charged	nreg	src
32	default/AmbientOcclusion	RndAmbientOcclusion	3	2824	0	16+	?BlendVert@RndAmbientOcclusion@@SAXABVVert@RndMesh@@0AAV23@@Z	544	55.956	127	92	src/system/rndobj/AmbientOcclusion.cpp
33	default/Text	RndText	4	2808	0	16+,7-15	?ApplyLineText@RndText@@QAAXABVString@@ABVStyle@1@AAMAAVLine@1@HHPA_N@Z	1180	86.485	55	15	src/system/rndobj/Text.cpp
33	default/Text	RndText	4	2808	0	16+,7-15	?ParseMarkup@RndText@@QBAPBDPBDPAVStyle@1@MM@Z	924	97.896	7	2	src/system/rndobj/Text.cpp
33	default/Text	RndText	4	2808	0	16+,7-15	?UpdateText@RndText@@QAAX_N@Z	364	77.044	36	13	src/system/rndobj/Text.cpp
33	default/Text	RndText	4	2808	0	16+,7-15	?UpdateMesh@RndText@@QAAXPAVRndFont@@@Z	340	98.176	7	7	src/system/rndobj/Text.cpp
34	default/CharHair	CharHair	2	2800	0	16+	?SimulateInternal@CharHair@@IAAXM@Z	2472	96.173	64	49	src/system/char/CharHair.cpp
34	default/CharHair	CharHair	2	2800	0	16+	?_M_insert_overflow_aux@?$vector@UPoint@CharHair@@V?$StlNodeAlloc@UPoint@CharHair@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUPoint@CharHair@@ABU34@ABU__false_type@2@I_N@Z	328	93.256	18	9	src/system/char/CharHair.cpp
35	default/CameraShot	CamShotFrame	2	2796	0	16+,7-15	?Interp@CamShotFrame@@QAAXABV1@MMPAVRndCam@@@Z	1772	99.063	9	2	src/system/world/CameraShot.cpp
35	default/CameraShot	CamShotFrame	2	2796	0	16+,7-15	?BuildTransform@CamShotFrame@@QBAXPAVRndCam@@AAVTransform@@_N@Z	1024	96.258	37	28	src/system/world/CameraShot.cpp
36	default/AmbientOcclusion	VTriangle	6	2712	1	16+,7-15,<=3	?Pack@kdTreeNode@?$kdTree@VTriangle@@@@QAAXW4SplitPlaneType@2@ABVBox@@AAV?$list@PAVTriangle@@V?$StlNodeAlloc@PAVTriangle@@@stlpmtx_std@@@stlpmtx_std@@PAV12@E@Z	972	85.300	60	32	src/system/rndobj/AmbientOcclusion.cpp
36	default/AmbientOcclusion	VTriangle	6	2712	1	16+,7-15,<=3	?FindSplit_Mean@kdTreeNode@?$kdTree@VTriangle@@@@QAA_NABVBox@@ABV?$list@PAVTriangle@@V?$StlNodeAlloc@PAVTriangle@@@stlpmtx_std@@@stlpmtx_std@@@Z	500	18.920	139	45	src/system/rndobj/AmbientOcclusion.cpp
36	default/AmbientOcclusion	VTriangle	6	2712	1	16+,7-15,<=3	?Intersect@?$kdTree@VTriangle@@@@QBA_NABVVector3@@0MAAM@Z	496	89.427	28	10	src/system/rndobj/AmbientOcclusion.cpp
36	default/AmbientOcclusion	VTriangle	6	2712	1	16+,7-15,<=3	?FindSplit_SAH@kdTreeNode@?$kdTree@VTriangle@@@@QAA_NABVBox@@ABV?$list@PAVTriangle@@V?$StlNodeAlloc@PAVTriangle@@@stlpmtx_std@@@stlpmtx_std@@@Z	388	95.361	13	10	src/system/rndobj/AmbientOcclusion.cpp
36	default/AmbientOcclusion	VTriangle	6	2712	1	16+,7-15,<=3	??0?$kdTree@VTriangle@@@@QAA@ABVBox@@@Z	264	87.955	12	7	src/system/rndobj/AmbientOcclusion.cpp
36	default/AmbientOcclusion	VTriangle	6	2712	1	16+,7-15,<=3	?_M_erase@?$vector@VTriangle@@V?$StlNodeAlloc@VTriangle@@@stlpmtx_std@@@stlpmtx_std@@IAAPAVTriangle@@PAV3@0ABU__false_type@2@@Z	92	95.435	2	0	src/system/rndobj/AmbientOcclusion.cpp
37	default/UIStats		1	2604	0	16+	?MaybePublish@UIStats@@QAAXPAVUIScreen@@@Z	2604	99.579	65	10	src/band3/meta_band/UIStats.cpp
38	default/band3/meta_band/StoreOfferProvider	StoreOfferProvider	2	2588	0	16+,4-6	?BuildList@StoreOfferProvider@@QAAXPAVDataArray@@@Z	2536	96.043	110	45	src/band3/meta_band/StoreOfferProvider.cpp
38	default/band3/meta_band/StoreOfferProvider	StoreOfferProvider	2	2588	0	16+,4-6	?IsActive@StoreOfferProvider@@UBA_NH@Z	52	71.923	5	1	src/band3/meta_band/StoreOfferProvider.cpp
