prize	tgt_size	funclet_bytes	funclets	fuzzy	mpn	tgt_frame	base_frame	delta	direction	verdict	hard	name	reg	imm	unit	symbol
776	776	0	0	90.856	92.505	0xf0	0x120	-48	OURS_BIGGER	COLLECTABLE	15	0	47	31	default/CharMeshHide	?UpdateOverlay@Synth@@UAAMPAVRndOverlay@@M@Z
772	772	0	0	90.668	91.834	0xf0	0x100	-16	OURS_BIGGER	NAME-BLOCKED	16	1	38	9	default/VocalTrack	?UpdateTubePlates@VocalTrack@@QAAXAAV?$deque@PAVTubePlate@@V?$StlNodeAlloc@PAVTubePlate@@@stlpmtx_std@@@stlpmtx_std@@MM_N@Z
768	728	40	1	50.918	52.291	0x120	0xc0	96	RETAIL_BIGGER	UNTRIAGED					default/system/rnddx9/ShaderMgr	?Compile@DxShader@@MAA_NW4ShaderType@@ABUShaderOptions@@AAPAVRndShaderBuffer@@2@Z
764	764	0	0	64.387	67.293	0x130	0xc0	112	RETAIL_BIGGER	UNTRIAGED					default/Lit	?Projection@RndLight@@QAA?AVTransform@@XZ
756	756	0	0	99.344	99.741	0x150	0x190	-64	OURS_BIGGER	COLLECTABLE	0	0	9	49	default/system/rndobj/Utl	?UtilDrawPlane@@YAXABVPlane@@ABVVector3@@ABVColor@Hmx@@HM_N@Z
744	744	0	0	13.306	14.086	0x90	0x70	32	RETAIL_BIGGER	UNTRIAGED					default/LightPreset	?Copy@RhythmDetector@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z
740	740	0	0	76.908	78.178	0xf0	0xe0	16	RETAIL_BIGGER	UNTRIAGED					default/DOFProc_NG	?SetVHBlurWeights@@YAX_NHH@Z
736	736	0	0	0	1.902	0xb0	0x100	-80	OURS_BIGGER	UNTRIAGED					default/ByteGrinder	?SyncProperty@SkeletonClip@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
712	712	0	0	67.955	69.079	0xb0	0xa0	16	RETAIL_BIGGER	UNTRIAGED					default/MicInputArrow	?Handle@MicInputArrow@@UAA?AVDataNode@@PAVDataArray@@_N@Z
708	708	0	0	0	2.966	0xb0	0x1f0	-320	OURS_BIGGER	UNTRIAGED					default/GemPlayer	??0GemPlayer@@QAA@PAVBandUser@@PAVBeatMaster@@PAVBand@@HPAVBandPerformer@@@Z
696	616	80	2	65.955	66.247	0xb0	0xe0	-48	OURS_BIGGER	UNTRIAGED					default/TourDescPanel	?Mat@TourDescProvider@@UBAPAVRndMat@@HHPAVUIListMesh@@@Z
696	696	0	0	91.052	92.0	0x1a0	0x1b0	-16	OURS_BIGGER	COLLECTABLE	14	0	26	22	default/Mesh	?CollideShowing@RndMesh@@UAAPAVRndDrawable@@ABVSegment@@AAMAAVPlane@@@Z
692	648	44	1	44.253	46.259	0x90	0x80	16	RETAIL_BIGGER	UNTRIAGED					default/SongInfoCopy	??0SongInfoCopy@@QAA@XZ
660	660	0	0	66.109	68.776	0x180	0x140	64	RETAIL_BIGGER	UNTRIAGED					default/SoftParticleBuffer	?BlurSurface@RndSoftParticleBuffer@@AAAXXZ
652	652	0	0	95.718	96.761	0xf0	0xe0	16	RETAIL_BIGGER	NAME-BLOCKED	6	3	27	8	default/BandCrowdMeter	?Poll@BandCrowdMeter@@UAAXXZ
652	652	0	0	49.399	50.38	0xb0	0xa0	16	RETAIL_BIGGER	UNTRIAGED					default/Rnd_Xbox	?FinishPostProcess@DxRnd@@AAAXXZ
648	648	0	0	84.981	85.352	0xa0	0xb0	-16	OURS_BIGGER	NAME-BLOCKED	24	1	9	7	default/BaseMaterial	??0RndMat@@IAA@XZ
644	564	80	2	32.965	35.411	0xe0	0xf0	-16	OURS_BIGGER	UNTRIAGED					default/Anim	?SyncObjects@RndDir@@UAAXXZ
636	636	0	0	96.302	97.465	0xc0	0xd0	-16	OURS_BIGGER	NAME-BLOCKED	4	2	22	3	default/BandCharDesc	?CopyCharDesc@BandCharDesc@@QAAXPBV1@@Z
632	632	0	0	2.095	3.013	0x1b0	0xb0	256	RETAIL_BIGGER	UNTRIAGED					default/DirLoader	?OpenFile@DirLoader@@AAAXXZ
632	464	168	4	38.638	39.888	0xb0	0x1c0	-272	OURS_BIGGER	UNTRIAGED					default/DirLoader	??0DirLoader@@QAA@ABVFilePath@@W4LoaderPos@@PAVCallback@Loader@@PAVBinStream@@PAVObjectDir@@_N@Z
616	616	0	0	96.279	96.701	0x1120	0x1130	-16	OURS_BIGGER	NAME-BLOCKED	5	2	10	8	default/StandardStream	?ConsumeData@StandardStream@@QAAHPAPAXHH@Z
604	604	0	0	61.43	63.119	0xa0	0x80	32	RETAIL_BIGGER	UNTRIAGED					default/BandDirector	?EnterVenue@BandDirector@@QAAXXZ
572	572	0	0	72.392	74.769	0xc0	0xe0	-32	OURS_BIGGER	UNTRIAGED					default/system/rndobj/Utl	?BuildFromBSP@@YAXPAVRndMesh@@@Z
556	556	0	0	96.489	96.957	0xb0	0xa0	16	RETAIL_BIGGER	NAME-BLOCKED	5	2	9	2	default/Spotlight	?Poll@Spotlight@@UAAXXZ
556	516	40	1	92.349	94.364	0x120	0x110	16	RETAIL_BIGGER	NAME-BLOCKED	8	3	44	3	default/Archive	?Merge@Archive@@QAAXAAV1@@Z
552	552	0	0	8.413	8.884	0xa0	0x90	16	RETAIL_BIGGER	UNTRIAGED					default/CameraShot	?StartAnim@CamShot@@UAAXXZ
544	544	0	0	38.559	40.581	0xa0	0xb0	-16	OURS_BIGGER	UNTRIAGED					default/Shader	?CalcShaderOpts@RndShaderParticles@@MAA_KPAVNgMat@@W4ShaderType@@_N@Z
544	544	0	0	48.169	48.831	0x90	0xa0	-16	OURS_BIGGER	UNTRIAGED					default/NetworkEmulator	??0NetworkEmulator@@QAA@XZ
528	528	0	0	82.402	82.553	0x90	0xa0	-16	OURS_BIGGER	NAME-BLOCKED	23	2	1	3	default/VocalTrackDir	?SetConfiguration@VocalTrackDir@@QAAXPAVObject@Hmx@@W4HarmonyShowingState@1@@Z
524	484	40	1	98.017	98.306	0xf0	0xe0	16	RETAIL_BIGGER	NAME-BLOCKED	2	1	6	5	default/MidiParser	?PushIdle@MidiParser@@AAAXMMHVSymbol@@@Z
