solo_closable_B	solo_rows	sites	strength	retail_S	ours_F	units	victim_rows
12	1	1	F_ungraded	?SetType@RndEnvAnim@@UAAXVSymbol@@@Z	?Replace@RndEnvAnim@@UAAXPAVObjRef@@PAVObject@Hmx@@@Z	default/EnvAnim	?Replace@RndEnvAnim@@$4PPPPPPPM@A@AAXPAVObjRef@@PAVObject@Hmx@@@Z
12	1	1	F_ungraded	?SetType@RndMultiMeshProxy@@UAAXVSymbol@@@Z	?Save@RndMultiMeshProxy@@UAAXAAVBinStream@@@Z	default/MultiMeshProxy	?Save@RndMultiMeshProxy@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z
12	1	1	F_ungraded	?Load@RndPollAnim@@UAAXAAVBinStream@@@Z	?Poll@RndPollAnim@@UAAXXZ	default/PollAnim	?Poll@RndPollAnim@@$4PPPPPPPM@A@AAXXZ
12	1	1	AIRTIGHT	?SetType@RndPollAnim@@UAAXVSymbol@@@Z	?Load@RndPollAnim@@UAAXAAVBinStream@@@Z	default/PollAnim	?Load@RndPollAnim@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z
12	1	1	F_ungraded	?SyncProperty@WorldDir@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	?Save@RndShockwave@@UAAXAAVBinStream@@@Z	default/Shockwave	?Save@RndShockwave@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z
12	1	1	F_ungraded	?SetType@RndTransAnim@@UAAXVSymbol@@@Z	?Replace@RndTransAnim@@UAAXPAVObjRef@@PAVObject@Hmx@@@Z	default/TransAnim	?Replace@RndTransAnim@@$4PPPPPPPM@A@AAXPAVObjRef@@PAVObject@Hmx@@@Z
12	1	1	F_ungraded	?Save@RndTransAnim@@UAAXAAVBinStream@@@Z	?Load@RndTransAnim@@UAAXAAVBinStream@@@Z	default/TransAnim	?Load@RndTransAnim@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z
12	1	1	AIRTIGHT	?ClassName@UISlider@@UBA?AVSymbol@@XZ	?ClassName@PanelDir@@UBA?AVSymbol@@XZ	default/UISlider	?ClassName@PanelDir@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	F_ungraded	?Save@Screenshot@@UAAXAAVBinStream@@@Z	?Load@Screenshot@@UAAXAAVBinStream@@@Z	default/Screenshot	?Load@Screenshot@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z
12	1	1	AIRTIGHT	?SyncProperty@UIFontImporter@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	?SetType@UIFontImporter@@UAAXVSymbol@@@Z	default/UIFontImporter	?SetType@UIFontImporter@@$4PPPPPPPM@A@AAXVSymbol@@@Z
12	1	1	F_ungraded	?SetType@UIFontImporter@@UAAXVSymbol@@@Z	?Copy@UIFontImporter@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z	default/UIFontImporter	?Copy@UIFontImporter@@$4PPPPPPPM@A@AAXPBVObject@Hmx@@W4CopyType@23@@Z
12	1	1	AIRTIGHT	?Load@UIFontImporter@@UAAXAAVBinStream@@@Z	?SyncProperty@UIFontImporter@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	default/UIFontImporter	?SyncProperty@UIFontImporter@@$4PPPPPPPM@A@AA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
12	1	1	AIRTIGHT	?Save@UIFontImporter@@UAAXAAVBinStream@@@Z	?Load@UIFontImporter@@UAAXAAVBinStream@@@Z	default/UIFontImporter	?Load@UIFontImporter@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z
8	1	1	AIRTIGHT	?IsScrolling@UIListState@@QBA_NXZ	?SetSpeed@UIListState@@QAAXM@Z	default/UIList	?SetSpeed@UIList@@QAAXM@Z
8	1	1	F_ungraded	?SetProcAndLock@ProcCounter@@QAAX_N@Z	?SetEvenOddDisabled@ProcCounter@@QAAX_N@Z	default/system/rndobj/Rnd	?SetEvenOddDisabled@Rnd@@QAAX_N@Z
8	1	1	AIRTIGHT	?AtFrame@?$Keys@VSymbol@@V1@@@QBAHMAAVSymbol@@@Z	?AtFrame@?$Keys@VObjectStage@@PAVObject@Hmx@@@@QBAHMAAPAVObject@Hmx@@@Z	default/PropKeys	?ObjectAt@ObjectKeys@@UAAHMAAPAVObject@Hmx@@@Z
8	1	1	AIRTIGHT	?SetParameters@CompressionEffect@@QAAXABUParams@1@@Z	?Reset@CompressionEffect@@QAAXXZ	default/system/synth_xbox/Synth	?Reset@?$StandardEffect@VCompressionEffect@@@@UAAXXZ
8	1	1	AIRTIGHT	?SetParameters@DelayEffect@@QAAXABUParams@1@@Z	?Reset@DelayEffect@@QAAXXZ	default/system/synth_xbox/FxSendDelay	?Reset@?$StandardEffect@VDelayEffect@@@@UAAXXZ
8	1	1	AIRTIGHT	?SetParameters@EQEffect@@QAAXABUParams@1@@Z	?Reset@EQEffect@@QAAXXZ	default/system/synth_xbox/FxSendEQ	?Reset@?$StandardEffect@VEQEffect@@@@UAAXXZ
4	1	2	AIRTIGHT	?clear@?$_List_base@UProxyCall@EventTrigger@@V?$StlNodeAlloc@UProxyCall@EventTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ	?clear@?$_List_base@UAnim@EventTrigger@@V?$StlNodeAlloc@UAnim@EventTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ	default/EventTrigger	??1?$ObjList@UAnim@EventTrigger@@@@QAA@XZ
4	1	2	F_ungraded	?clear@?$_List_base@UAnim@EventTrigger@@V?$StlNodeAlloc@UAnim@EventTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ	?clear@?$_List_base@UPropTriggerDefn@FlowTrigger@@V?$StlNodeAlloc@UPropTriggerDefn@FlowTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ	default/EventTrigger	??1?$ObjList@UPropTriggerDefn@FlowTrigger@@@@QAA@XZ
4	1	1	F_ungraded	??1FillInfo@@UAA@XZ	?MemPopTemp@@YAXXZ	default/SongData	??1MemDoTempAllocations@@QAA@XZ
4	1	1	AIRTIGHT	?clear@?$_Rb_tree@VString@@U?$less@VString@@@stlpmtx_std@@U?$pair@$$CBVString@@VDataNode@@@3@U?$_Select1st@U?$pair@$$CBVString@@VDataNode@@@stlpmtx_std@@@3@U?$_MapTraitsT@U?$pair@$$CBVString@@VDataNode@@@stlpmtx_std@@@priv@3@V?$StlNodeAlloc@U?$pair@$$CBVString@@VDataNode@@@stlpmtx_std@@@3@@stlpmtx_std@@QAAXXZ	??1exception@std@@UAA@XZ	default/RockCentral	??1logic_error@stlpmtx_std@@UAA@XZ
4	1	1	F_ungraded	?IsLoaded@UIPanel@@UBA_NXZ	??1GameGem@@QAA@XZ	default/PracticePanel	??$__destroy_aux@VGameGem@@@stlpmtx_std@@YAXPAVGameGem@@ABU__false_type@0@@Z
4	1	1	AIRTIGHT	??1UIPanel@@UAA@XZ	?__ucopy_trivial@stlpmtx_std@@YAPAXPBX0PAX@Z	default/band3/bandtrack/TrackPanel	??$__ucopy_aux@PAPAVTrack@@PAPAV1@@stlpmtx_std@@YAPAPAVTrack@@PAPAV1@00ABU__true_type@0@@Z
4	1	1	AIRTIGHT	?FinishLoad@UIPanel@@MAAXXZ	??YString@@QAAAAV0@PBD@Z	default/TexLoadPanel	?Print@String@@UAAXPBD@Z
4	1	1	AIRTIGHT	?Unload@UIPanel@@UAAXXZ	?Load@UIPanel@@MAAXXZ	default/ChordbookPanel	?Load@ChordbookPanel@@UAAXXZ
4	1	1	AIRTIGHT	?PostLoad@UILabel@@UAAXAAVBinStream@@@Z	??1BinStream@@UAA@XZ	default/UIListState	??1BinStreamRev@@UAA@XZ
4	1	1	AIRTIGHT	??1?$vector@USpotlightEntry@LightPreset@@V?$StlNodeAlloc@USpotlightEntry@LightPreset@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	??$?5V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@@YAAAVBinStreamRev@@AAV0@AAV?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@@Z	default/LightPreset	??$?5MM@@YAAAVBinStreamRev@@AAV0@AAV?$Keys@MM@@@Z
4	1	1	AIRTIGHT	?SetEnable@VoiceBeat@@QAAX_N@Z	??1String@@UAA@XZ	default/WebSvcMgr	??$_Destroy@U?$pair@$$CBVString@@VNetAddress@@@stlpmtx_std@@@stlpmtx_std@@YAXPAU?$pair@$$CBVString@@VNetAddress@@@0@@Z
